cseq,mapX,mapY,useyn
2536,126.8997834,34.5451015,y
2537,128.9917443,37.0370892,y
2538,126.9609528,35.2714369,y
2539,129.3687864,36.6254034,y
2540,128.3482948,36.8405814,y
2541,127.1154018,35.5011323,y
2542,127.4025027,38.0258175,y
2543,127.5691925,36.1049416,y
2544,129.024015,35.6511492,y
2545,128.0298507,38.068868,y
2546,126.2938045,36.9363123,y
2547,126.3935277,34.7367086,y
2548,126.9291772,36.2713014,y
2549,126.8698541,37.8827823,y
2550,126.6743334,33.5049732,y
2551,128.6119646,37.3371048,y
2552,127.7548605,35.9112979,y
2553,128.508799,37.9554535,y
2554,127.9773911,36.6830162,y
2555,129.0661432,35.7236193,y
2556,126.244738,36.7185737,y
2557,127.5357133,37.7728076,y
2558,126.62796,37.169774,y
2559,127.682126,37.5791182,y
2560,129.5460042,36.0794375,y
2561,126.7225639,36.1840801,y
2562,128.0877518,35.7492671,y
2563,127.6776484,37.5860577,y
2564,129.212661,37.010851,y
2565,127.362415,36.9586597,y
2566,128.0184745,37.2936167,y
2567,127.128047,37.9391579,y
2568,128.8913444,35.8746434,y
2569,128.2602109,37.317754,y
2570,126.9271145,37.9623703,y
2571,127.3690928,36.0677603,y
2572,128.1214504,35.9174557,y
2573,127.7612922,34.5351616,y
2574,128.316921,36.108123,y
2575,128.2764332,36.0998652,y
2576,127.8003156,35.7321574,y
2577,127.665852,37.2939603,y
2578,126.935462,37.7766651,y
2579,128.1541537,37.3027158,y
2580,128.6022969,37.0795251,y
2581,128.6100905,37.1213937,y
2582,128.0112684,35.9779879,y
2583,126.5334652,37.7481594,y
2584,126.6544393,37.7030591,y
2585,128.6037991,37.1103264,y
2586,127.7607566,35.9260337,y
2587,127.1690031,37.9214643,y
2588,127.2100891,37.1143322,y
2589,128.182554,35.1151762,y
2590,128.0422844,35.6254421,y
2591,127.28752,36.1879223,y
2592,127.365272,35.293488,y
2593,128.4541987,35.9986012,y
2594,127.3711154,38.0139897,y
2595,128.2806178,37.3431516,y
2596,127.7239392,37.5570649,y
2597,128.4514503,37.5017856,y
2598,127.1888456,36.2664844,y
2599,128.3287404,38.1928,y
2600,127.4931576,34.4330206,y
2601,126.9719973,38.018629,y
2602,127.1505417,37.9695114,y
2603,127.5132564,35.7027696,y
2604,128.3663172,35.6734661,y
2605,128.371533,35.671999,y
2606,128.2799774,37.3503326,y
2607,128.1110517,37.5390902,y
2608,127.3003375,37.7143513,y
2609,127.5076174,35.3999038,y
2610,127.4163431,35.4596253,y
2611,127.7818433,34.7181692,y
2612,126.42862291,37.7016913,y
2613,127.7993317,38.0431019,y
2614,128.6718332,37.1089277,y
2615,128.2755015,37.9007531,y
2616,128.2908329,37.9102643,y
2617,126.7457087,36.1837789,y
2618,127.7839463,37.389235,y
2619,127.8124104,35.2967767,y
2620,126.9181089,35.4983233,y
2621,129.2357561,37.3249097,y
2622,128.2706209,37.381619,y
2623,127.7287446,36.325784,y
2624,127.3875465,38.0679752,y
2625,128.9267335,35.4972561,y
2626,129.0532272,35.8231278,y
2627,128.3734499,36.9559257,y
2628,127.8566003,37.0382746,y
2629,126.8785375,37.5693167,y
2630,127.8873465,35.3932118,y
2631,127.7332775,37.6887448,y
2632,127.9867937,36.6701762,y
2633,126.9694092,36.628369,y
2634,127.1537943,36.1751734,y
2635,126.9660207,38.0382263,y
2636,127.0523534,37.9413076,y
2637,126.4587725,37.2817996,y
2638,126.7659453,36.435692,y
2639,129.4821544,35.9300896,y
2640,126.9031574,34.6354616,y
2641,127.7449681,37.7609521,y
2642,126.7082707,36.8019058,y
2643,127.7817377,35.6248761,y
2644,129.1700704,36.0777955,y
2645,126.9990666,35.4267609,y
2646,127.7116755,35.0584821,y
2647,128.7130461,37.0901044,y
2648,126.7545927,37.8730244,y
2649,128.6786909,37.1040435,y
2650,127.781667,35.3715548,y
